ID	구분	항목	선행 조건	절차	기대 결과	근거	우선순위	프로토타입 확인	수행일	수행자	결과	비고
TC-E-05	예외	EX-02 원인 표시	필터로 0건 발생	1. 필터 버튼 라벨 확인	적용 중인 조건 수가 필터 · N 으로 표기되어 원인을 드러낸다	EX-02 · S-02_D	Mid	가능				
TC-U-01	화면·요소	A 헤더 구성	정상 진입	1. 헤더 확인	뒤로 · 가입신청서 · 닫기 순으로 구성된다	S-02_A	Mid	가능				
TC-U-02	화면·요소	A 뒤로가기	정상 진입	1. 뒤로 아이콘 클릭	History.back() 으로 이전 화면에 복귀한다	S-02_A	High	구현 후				
TC-U-03	화면·요소	A 닫기	정상 진입	1. 닫기 아이콘 클릭	신청서를 이탈한다 (복귀 경로는 현행 준용)	S-02_A	Mid	구현 후				
TC-U-04	화면·요소	B 타이틀	정상 진입	1. 타이틀 확인	가입하실 요금제를 선택해 주세요. 가 노출되고 서브 타이틀은 없다	S-02_B	Low	가능				
TC-U-05	화면·요소	C 탭 구성	정상 진입	1. 탭 확인	주간 BEST(기본) · 전체 · LTE · 5G 4개가 노출된다	S-02_C · C-14	High	가능				
TC-U-06	화면·요소	C 탭 고정	목록 스크롤	1. 아래로 스크롤	탭이 헤더 하단에 붙어 고정된다	S-02_C	Mid	가능				
TC-U-07	화면·요소	C 선택된 탭 재클릭	전체 탭 선택 상태	1. 전체 탭 재클릭	아무 동작도 일어나지 않는다 (NO ACTION)	S-02_C	Low	가능				
TC-U-08	화면·요소	D 요금제 개수	목록 1건 이상	1. 개수 표기 확인	요금제 N개가 노출되고 필터·정렬 결과에 즉시 반응한다	S-02_D · C-39	High	가능				
TC-U-09	화면·요소	D 컨트롤 순서	목록 1건 이상	1. 컨트롤 배치 확인	필터 › 정렬 › 비교 순서가 전 탭 공통으로 고정된다	S-02_D · C-22	Mid	가능				
TC-U-10	화면·요소	D 필터 패널 펼침	목록 1건 이상	1. 필터 클릭	패널이 인라인으로 펼쳐지고 목록을 덮지 않고 밀어낸다	S-02_D	High	가능				
TC-U-11	화면·요소	D 필터 조건 순서	필터 패널 펼침	1. 조건 확인	데이터 제공량 → 월 기본료 순으로 고정된다	S-02_D	Low	가능				
TC-U-12	화면·요소	D 초기화 비활성	적용 조건 없음	1. 초기화 버튼 확인	비활성 상태이며 투명도가 아닌 대비 유지 방식으로 표기된다	S-02_D	Mid	가능				
TC-U-13	화면·요소	D 정렬 옵션	목록 1건 이상	1. 정렬 셀렉트 확인	옵션 3개이며 첫 옵션 라벨이 탭에 따라 전환된다	S-02_D · C-27	Mid	가능				
TC-U-14	화면·요소	D 비교 카운트	비교 담기 조작	1. 카드에서 비교 담기 · 해제	비교 0/2 → 1/2 → 2/2 로 실시간 반영된다	S-02_D · C-35	High	가능				
TC-U-15	화면·요소	E 순위 배지	주간 BEST 탭	1. 카드 배지 확인	주간 순위 1~10이 표기되고 그 외 탭에서는 미노출된다	S-02_E	Mid	가능				
TC-U-16	화면·요소	E 혜택 배지 상한	배지 3개 이상 등록된 요금제	1. 카드 배지 확인	등록 순서 기준 앞의 2개만 노출된다	S-02_E · C-15 · C-37	High	가능				
TC-U-17	화면·요소	E 배지 없는 요금제	배지 미등록 요금제	1. 카드 확인	배지 영역 자체가 노출되지 않는다	S-02_E	Low	가능				
TC-U-18	화면·요소	E 가격 표기	프로모션가 있는 요금제	1. 가격 확인	판매가 취소선 + 프로모션가 / 월 로 표기되고 할인율·할인액은 없다	S-02_E · C-30	High	가능				
TC-U-19	화면·요소	E 프로모션 지급 개월	프로모션 있는 요금제	1. 가격 영역 확인	지급 개월이 배너로만 표기되고 적용 기간·종료 후 금액은 노출되지 않는다	S-02_E · C-45	High	구현 후				
TC-U-20	화면·요소	E 프로모션 없는 요금제	프로모션가 없는 요금제	1. 가격 확인	판매가만 노출된다	S-02_E · C-30	Mid	가능				
TC-U-21	화면·요소	E 제공량 면	목록 1건 이상	1. 제공량 영역 확인	데이터 · 통화 · 문자가 3열 1행으로 고정 노출되고 값이 줄바꿈되지 않는다	S-02_E	High	가능				
TC-U-22	화면·요소	E 혜택 면 유무	혜택 없는 요금제	1. 카드 확인	혜택 면이 생성되지 않고 카드 높이가 축소된다	S-02_E	Mid	가능				
TC-U-23	화면·요소	E 비교 담기 상한	비교 2개 담긴 상태	1. 3번째 카드의 비교 담기 클릭	담기지 않고 상한 안내 토스트만 노출된다	S-02_E · C-15	High	가능				
TC-U-24	화면·요소	E 선택 전후 카드 크기	목록 1건 이상	1. 카드 선택 · 해제	카드 크기가 변하지 않아 목록이 흔들리지 않는다	S-02_E	Mid	가능				
TC-U-25	화면·요소	F 미선택 상태	선택 없음	1. 하단 바 확인	요금제를 선택해 주세요 문구와 비활성 CTA가 노출된다	S-02_F · C-20	High	가능				
TC-U-26	화면·요소	F 선택 상태	카드 선택	1. 하단 바 확인	선택 요금제명(좌) + 월 요금(우)이 노출되고 CTA가 활성화된다	S-02_F	High	가능				
TC-U-27	화면·요소	F 요금제명 넘침	이름이 긴 요금제 선택	1. 하단 바 확인	요금제명만 한 줄 말줄임 처리되고 요금은 축약되지 않는다	S-02_F	Mid	가능				
TC-U-28	화면·요소	F 토스트 단일 노출	토스트 노출 상태	1. 소멸 전 다른 토스트 유발	중첩되지 않고 문구가 교체되며 타이머가 재시작된다	S-02_F	Mid	가능				
TC-U-29	화면·요소	G 비교 시트 자동 노출	비교 1개 담긴 상태	1. 두 번째 요금제 담기	비교 시트가 자동으로 열린다	S-02_G	High	가능				
TC-U-30	화면·요소	G 비교 버튼 0개	비교 0개	1. 비교 버튼 클릭	시트가 열리지 않고 담기 안내 토스트만 노출된다	S-02_G · S-02_F	High	가능				
TC-U-31	화면·요소	G 비교 버튼 1개	비교 1개	1. 비교 버튼 클릭	시트가 열리지 않고 1개 더 담으라는 안내가 노출된다	S-02_G · S-02_F	High	가능				
TC-U-32	화면·요소	G 비교 항목 구성	시트 열림	1. 비교표 확인	월 요금 · 판매가 · 데이터 · QOS · 통화/문자 5행만 노출되고 혜택은 표시되지 않는다	S-02_G · C-47	High	가능				
TC-U-33	화면·요소	G 긴 값 표현	QOS 값이 긴 요금제로 비교	1. QOS 행 확인	줄바꿈으로 처리되고 말줄임·글자 축소는 없다	S-02_G · C-47	Mid	가능				
TC-U-34	화면·요소	G 값 강조 없음	두 요금제 비교	1. 서로 다른 값 확인	다른 값을 강조하지 않고 전부 같은 위계로 표기된다	S-02_G · C-47	Mid	가능				
TC-U-35	화면·요소	G 판매가 없는 요금제	프로모션가 없는 요금제 포함	1. 판매가 행 확인	해당 열에 - 로 표기된다	S-02_G	Low	가능				
TC-U-36	화면·요소	G 열별 선택	시트 열림	1. 좌측 열의 요금제 선택 클릭	해당 요금제가 선택되고 시트가 닫히며 카드·하단 바가 동기화된다	S-02_G	High	가능				
TC-U-37	화면·요소	G 선택됨 열 재클릭	시트에서 이미 선택된 요금제	1. 선택됨 버튼 클릭	해제되지 않는다 (선택은 단일 필수)	S-02_G	Mid	가능				
TC-U-38	화면·요소	G 비교 목록 비우기	시트 열림	1. 비교 목록 비우기 클릭	시트가 닫히고 비교 카운트가 0/2로 갱신된다	S-02_G	Mid	가능				
TC-U-39	화면·요소	G 자동 닫힘	시트 열림	1. 카드에서 비교 담기 하나 해제	담긴 항목이 1개가 되어 시트가 자동으로 닫힌다	S-02_G · C-47	High	가능				
TC-U-40	화면·요소	G 닫기 · 딤 클릭	시트 열림	1. 닫기 아이콘 클릭 ▸ 2. 다시 열고 딤 영역 클릭	두 경우 모두 동일하게 닫힌다	S-02_G	Mid	가능				
TC-U-41	화면·요소	G 탭 이동 후 유지	비교 2개 담긴 상태	1. 다른 탭으로 이동	담긴 항목이 유지된다	S-02_G · C-35	Mid	가능				
TC-A-01	접근성	목록 구조	목록 1건 이상	1. 목록·카드 role 확인	목록 role=radiogroup, 각 카드 role=radio + aria-checked 가 부여된다	WCAG 4.1.2	High	구현 후				
TC-A-02	접근성	키보드 이동	카드에 포커스	1. 방향키로 이동	선택 항목만 tabindex=0 이며 이동과 동시에 선택되고 목록 끝에서 순환한다	WCAG 2.1.1	High	가능				
TC-A-03	접근성	Home / End	카드에 포커스	1. Home · End 입력	목록의 처음 · 마지막 카드로 이동한다	WCAG 2.1.1	Mid	가능				
TC-A-04	접근성	포커스 표시	카드 선택 상태	1. 키보드로 포커스 이동	포커스 표시가 선택 상태 표시와 구분되어 보인다	WCAG 2.4.7	High	가능				
TC-A-05	접근성	선택 상태 인지	카드 선택	1. 흑백 · 저조도 환경에서 확인	색상 없이도 보더 · 채움 · 라디오로 선택을 구분할 수 있다	WCAG 1.4.1 · C-26	High	가능				
TC-A-06	접근성	탭 선택 상태 전달	탭 선택	1. 보조기술로 탭 확인	선택된 탭이 보조기술에 전달된다	WCAG 4.1.2	High	구현 후				
TC-A-07	접근성	컨트롤 이름	정렬 · 비교 · 비교 담기	1. 보조기술로 이름 확인	보이는 라벨이 없는 컨트롤에 접근 가능한 이름이 있고 비교 담기에는 요금제명이 포함된다	WCAG 4.1.2	High	구현 후				
TC-A-08	접근성	토글 버튼 상태	비교 담기	1. 담기 · 해제 후 상태 확인	aria-pressed 로 담김 상태가 전달된다	WCAG 4.1.2	Mid	구현 후				
TC-A-09	접근성	상태 변경 알림	토스트 노출	1. 보조기술로 확인	role=status + aria-live=polite 로 전달되고 포커스를 빼앗지 않는다	WCAG 4.1.3	High	구현 후				
TC-A-10	접근성	비활성 컨트롤	선택 없음	1. 비활성 CTA에 포커스 · 클릭	disabled 가 아닌 aria-disabled 로 처리되어 포커스·클릭이 가능하고 사유가 안내된다	C-41	High	가능				
TC-A-11	접근성	점진 렌더 안내	목록 다수 건	1. 목록 하단 확인	남은 건수 표기가 노출되고 갱신이 보조기술에도 전달된다	C-39	Mid	가능				
TC-A-12	접근성	터치 타깃	전 컨트롤	1. 탭 · 칩 · 셀렉트 · 시트 닫기 크기 측정	모두 44px 이상이다	C-38 · WCAG 2.5.5	High	가능				
TC-A-13	접근성	모달 처리	비교 시트 열림	1. 시트 role 확인	role=dialog + aria-modal=true 가 부여되고 배경이 딤 처리된다	S-02_G	Mid	구현 후				
TC-P-01	PC	PC 팝업 형태	PC 환경 진입	1. 화면 확인	전체 페이지가 아니라 오버레이 위 중앙 풀 팝업으로 노출된다	C-46	High	가능				
TC-P-02	PC	PC 목록 2열	PC · 목록 1건 이상	1. 목록 확인	2열 격자로 배치되고 같은 행 카드의 높이가 정렬된다	C-03 · C-46	High	가능				
TC-P-03	PC	PC 필터 2열	PC · 필터 펼침	1. 필터 패널 확인	조건이 2열 · 라벨 상단으로 배치되고 적용 CTA가 우측 정렬된다	C-46	Mid	가능				
TC-P-04	PC	PC 비교 모달	PC · 비교 2개	1. 비교 시트 확인	하단 시트가 아니라 폭 520px 중앙 모달로 노출되고 Grab Bar는 없다	C-47 · C-46	High	가능				
TC-P-05	PC	PC 하단 고정 기준	PC · 요금제 선택	1. 하단 바 위치 확인	브라우저 뷰포트가 아니라 팝업 하단에 고정된다	S-02_F	Mid	가능				
TC-P-06	PC	브레이크포인트 전환	PC · 모바일 경계	1. 뷰포트 폭을 769px 전후로 변경	769px 이상에서 목록 2열 · 필터 2열 · 중앙 모달이 동시에 적용된다	C-46	High	가능				
TC-P-07	PC	PC 닫기 동작	PC 진입	1. 닫기 클릭	오버레이가 해제된다 (페이지 닫기가 아님)	S-02_A	Mid	구현 후				
TC-P-08	PC	PC 방향키 순서	PC · 2열 목록	1. 방향키로 이동	보이는 순서(좌→우, 다음 행)를 따라 이동한다	WCAG 2.1.1	Mid	가능				
